,news_title,news_dates,news_details
618,WSJ: Intel working on augmented reality headset platform,"Mar. 2, 2016, 5:35 PM","
 
The WSJ reports Intel (NASDAQ:INTC) is developing an augmented reality headset that leverages the company's RealSense depth-sensing/gesture-recognition technology. In-line with Intel's past hardware efforts, the company is expected to provide the headset design (which presumably includes an Intel CPU, and perhaps also features other Intel chips) to OEM partners, rather than sell its own hardware. Details are light regarding the headset solution's specs and software. AR, not to be confused with virtual reality, superimposes digital content (text, images, animations, etc.) on a user's view of the real world. Last year, Microsoft entered the space with much fanfare by unveiling its HoloLens headset, which relies on a yet-undisclosed Intel CPU/GPU to go with a custom holographic processing unit (HPU). The first HoloLens dev. kits - they cost $3,000, and come with a handful of apps - are due to ship on March 30. Qualcomm, by contrast, recently sold its Vuforia AR platform to software firm PTC, after seeing Vuforia produce a moderate amount of real-world usage. The FT reported in January Apple ""has assembled a large team of experts in virtual and augmented reality and built prototypes of headsets that could one day rival Facebook's Oculus Rift or Microsoft's HoloLens."" Last June, Intel bought heads-up display maker Recon Instruments, while stating the deal gives it ""a talented, experienced wearable computing team that will help us expand the market for head mounted display products and technologies.""  "
619,WisdomTree U.S. Dividend Growth ETF (DGRW) February Summary,"Mar. 2, 2016, 6:30 AM","

February monthly performance was: +2.15%


AUM of $568M
52-week performance vs. the S&P 500 is: 0%


$0.05 in dividends were paid in February
Top 10 Holdings as of 1/29/2016: Coca-Cola Co (KO): 4.25%, Microsoft Corp (MSFT): 3.76%, Altria Group Inc (MO): 3.5%, Apple Inc (AAPL): 3.18%, AbbVie Inc (ABBV): 2.76%, McDonald's Corp (MCD): 2.22%, International Business Machines Corp (IBM): 2.1%, Intel Corp (INTC): 1.85%, Home Depot Inc (HD): 1.83%, 3M Co (MMM): 1.8%
 "
620,"Microsoft reveals March 30 ship date for HoloLens kit, along with hardware specs","Feb. 29, 2016, 11:17 AM","

Microsoft (MSFT - unchanged) has begun taking pre-orders for its $3,000 HoloLens developer kit, and will begin shipping it on March 30. The kit comes with a handful of initial apps, including a Skype app, a 3D modeling app called HoloStudio, and HoloTour, an app that provides 3D virtual trips to global landmarks.
Microsoft has also revealed hardware specs for its first-gen augmented reality headset. HoloLens runs on a custom ""Holographic Processing Unit"", along with an ""Intel (NASDAQ:INTC) 32-bit architecture"" CPU. It features two ""light engines"" (one for each eye) said to produce 2.3M light points, and contains Bluetooth 4.1 and 802.11ac Wi-Fi radios.
Other features include 64GB of storage, USB ports, four microphones for picking up voice commands, four cameras to ""understand"" a user's environment, a 2MP camera for capturing photos and videos, a Bluetooth-based ""Clicker"" accessory for controlling HoloLens, an ambient light sensor, and an ""internal measurement unit"" for detecting motion. Battery life under active use is a modest 2-3 hours, and the device's weight is 1.37 pounds.
Microsoft has already signaled it will initially target developers and enterprises with HoloLens, as it works to lower hardware costs and build out a software ecosystem. However, the company wants to eventually win over consumers as well - Satya Nadella once suggested HoloLens' commercialization will be ""a five-year journey.""
 "
621,"AT&T, Intel to test drones on LTE network","Feb. 22, 2016, 6:23 AM","

AT&T (NYSE:T) is partnering with Intel (NASDAQ:INTC) to test and optimize how drones perform on LTE connections beyond line of sight, at higher altitudes, or when faced with external interference.
The collaboration is designed to show how a network that has primarily been designed to connect devices (such as smartphones) on the ground can be reappropriated for unmanned aerial vehicles.
 "
622,Mellanox lower after Jefferies raises concerns about Intel's Omni-Path,"Feb. 17, 2016, 1:28 PM","

Mellanox (MLNX -1.9%) is off moderately on a day the Nasdaq is up 2.2%. The decline comes after Jefferies James Kisner (Hold) cut his target by $3 to $42, while raising concerns about the impact of Intel's (NASDAQ:INTC) recently-launched Omni-Path high-speed server interconnect fabric.
After talking with companies that have tested Omni-Path, Kisner thinks the solution poses ""significant risks"" for Mellanox's core InfiniBand interconnect business. Contacts suggest Omni-Path performs as well as InfiniBand in critical areas, and that Intel plans to be aggressive on pricing.
The chip giant has previously claimed Omni-Path will enable switches that are cheaper and more power-efficient than comparable InfiniBand switches. Dell, HP, and Lenovo are among the many OEMs planning to offer Omni-Path switches.
Mellanox rallied last month after posting a Q4 beat and issuing strong Q1 guidance. Shares have easily outperformed the Nasdaq this year.
 "
623,"Qualcomm/ARM outperform, Intel underperforms after Google server report","Feb. 3, 2016, 11:13 AM","


Bloomberg reports Google (GOOG, GOOGL) is ""planning to publicly give its support"" for Qualcomm's (QCOM +1.4%) first ARM (ARMH +2.2%) server CPUs at an investor event next week. It adds Google and Qualcomm have cooperated on design work, and that the former will commit to using the latter's chips if they meet performance goals.
Google is the world's biggest server buyer, and has largely relied on Intel's (INTC -4.1%) Xeon CPUs. The Web giant's adoption of Qualcomm processors, even if for only a fraction of its workload, would act as a major reference win for the fledgling ARM server CPU market. There has been speculation Amazon might also adopt ARM server CPUs, following its acquisition of chip startup Annapurna Labs (recently unveiled a line of low-end network processors).
Qualcomm is just four months removed from showing off a prototype ARM server CPU featuring custom cores. The company has been hoping the server market will provide a long-term sales lift as it continues dealing with mobile pressures - Qualcomm's chip division (QCT) sales fell 22% Y/Y in calendar Q4 to $4.1B.
Intel has been hoping to keep Google and other major Web/cloud clients loyal in part by providing custom Xeon CPUs, and by creating products that place Xeon chips and recently-acquired Altera's FPGAs (can be programmed on the fly to handle new algorithms/code) in the same package. Qualcomm has partnered with Altera archrival Xilinx.
Qualcomm and ARM are higher in spite of a 1.6% Nasdaq drop. Intel is underperforming; shares are down 3.3% after accounting for the fact Intel is trading ex-dividend.
 "
624,WisdomTree U.S. Dividend Growth ETF (DGRW) January Summary,"Feb. 2, 2016, 9:00 AM","

January monthly performance was: -4.6%


AUM of $539M
52-week performance vs. the S&P 500 is: -1%


$0.02 in dividends were paid in January
Top 10 Holdings as of 12/31/2015: Coca-Cola Co (KO): 4.05%, Microsoft Corp (MSFT): 3.61%, Apple Inc (AAPL): 3.27%, Altria Group Inc (MO): 3.17%, AbbVie Inc (ABBV): 2.84%, International Business Machines Corp (IBM): 2.21%, McDonald's Corp (MCD): 2.01%, Intel Corp (INTC): 1.95%, Cisco Systems Inc (CSCO): 1.9%, Home Depot Inc (HD): 1.84%
 "
625,"Telecom giants back Facebook hardware project; Cisco at risk, Intel could benefit","Jan. 27, 2016, 3:58 PM","

AT&T, Verizon, Deutsche Telecom, SK Telecom, and other major carriers have thrown their weight behind Facebook's Open Compute Project (OCP), an increasingly popular initiative to create open-source designs for cheap/power-efficient servers, storage systems, and networking hardware.
OCP could aid carrier efforts to adopt network functions virtualization (NFV), which allows switching, routing, and other networking functions to be handled by software running on commodity hardware. AT&T aims to virtualize over 75% of its network functions by 2020, Verizon, meanwhile, has been testing commodity switches running on software supplied by startups.
Switch/router giant Cisco (CSCO -1.3%) could see its carrier sales pressured if OCP-based hardware is widely adopted by telcos. Facebook has been contributing modular data center switch designs to OCP. Meanwhile, startup Big Switch Networks has contributed a Linux-based network OS that supports switching and routing.
Intel (INTC -0.6%), on the other hand, could benefit, as many OCP designs rely on the company's CPUs. On its Q4 earnings call (transcript), Intel estimated it had less than 10% telecom/networking penetration, and predicted the market would be a 2016 growth driver for its Data Center Group (DCG). The company also talked up its networking opportunity during its November investor day, and noted AT&T, Verizon, Vodafone, and SK Telecom have deployed Intel-based NFV solutions.
 "
626,"Macquarie upgrades Intel, declares 2016 CPU restocking a catalyst","Jan. 25, 2016, 11:11 AM","

Believing Intel (INTC -0.2%) under-shipped end-market demand for all of 2015, and that this ""adds potential upside to estimates as the PC supply chain replenishes processor inventories,"" Macquarie's Deepon Nag has upgraded the chip giant to Outperform. His target remains $35.
Nag also argues Intel's dividend (3.5% forward yield based on an increased quarterly dividend of $0.26/share) provides downside protection should a global downturn arrive. The upgrade comes less than two weeks after Intel tumbled in the wake of a Q4 beat - slowing server CPU growth and cautious commentary about Chinese/Asian demand weighed on shares.
Intel's desktop and notebook CPU volumes respectively fell 9% and 10% Y/Y in Q4; ASP increases of 9% and 6% limited the revenue impact. IDC and Gartner respectively estimate PC shipments fell 10.6% and 8.3% Y/Y in Q4; IDC's figure improves by ~600 bps if one counts detachable tablet shipments.

Mizuho upgraded Intel shortly before earnings. Nomura upgraded in December.
 "
627,Intel declares $0.26 dividend,"Jan. 22, 2016, 9:04 AM","

Intel (NASDAQ:INTC) declares $0.26/share quarterly dividend, 8.3% increase from prior dividend of $0.24.
Forward yield 3.51%
Payable March 1; for shareholders of record Feb. 7; ex-div Feb. 3.
 "
628,Chip equipment makers underperform after Intel cuts capex budget; analysts defend,"Jan. 15, 2016, 2:26 PM","


Up strongly yesterday as markets rallied and TSMC set a 2016 capex budget of $9B-$10B (up from 2015 capex of $8.12B), a slew of chip equipment makers are seeing big losses amid a 3.3% Nasdaq drop after Intel (NASDAQ:INTC) used its Q4 report to disclose its 2016 capex budget has been cut by $500M to $9.5B (+/- $500M). That's still up by $2.2B at the midpoint from 2015's $7.3B, but lower than the $10.1B-$11B spent annually from 2011-2014.
On Intel's earnings call (transcript), CEO Brian Krzanich indicated the budget cut is related to logic (i.e. CPU) capex, and insisted no specific major factor was responsible. ""As we went from the investor meeting into the actual firm forecast for 2016, the team has just sharpened down all the numbers and went through it in more detail.""
Major decliners: Applied Materials (AMAT -4.3%), Lam Research (LRCX -6.5%), KLA-Tencor (KLAC -3.8%), ASML (ASML -6.3%), MKS Instruments (MKSI -3.9%), Ultratech (UTEK -4.9%), Teradyne (TER -3.1%), Advantest (ATE -4.6%), and Ultra Clean (UCTT -5.2%).

Stifel's Patrick Ho argues the selloff is a buying opportunity. ""[W]e have already seen positive preannouncements with two of our names (Ultra Clean, Axcelis) and we expect more upside surprise than those on the downside ... We believe 3D NAND momentum continues to build while there has been some initial buying for 10nm logic (Intel) and foundry (TSMC). We maintain our industry thesis that 3D NAND spending will be the largest incremental driver for spending in 2016, with upside potential from the foundries in 2H16 related to 10nm investments."" He likes Applied, Lam, Teradyne, and MKS.
Credit Suisse's Farhan Ahmad notes Applied, ASML, and Lam have relatively low Intel exposure, and that a Korea Times report indicates DRAM/NAND flash maker SK Hynix's capex might increase in 2016. On the other hand, he's worried current expectations for EUV system shipments (important for ASML) are too optimistic.
Samsung (OTC:SSNLF), another top-3 chip equipment buyer, reports after the Jan. 21 close. Citi's Atif Malik sees Samsung cutting capex due to lower DRAM-related spending. ""We think Samsung moderating memory spend, particularly DRAM, would improve memory supply-demand balance and sustainability of memory equipment spend in C16.""
 "
629,"Intel tumbles below $30 post-earnings; Street worried about China, servers","Jan. 15, 2016, 1:29 PM","

Intel (INTC -8.5%) has received a mixture of target hikes and cuts (and no downgrades) after posting a Q4 beat, providing above-consensus sales guidance (aided by the Altera acquisition), and reporting weaker-than-expected Data Center Group (DCG) sales growth. Nonetheless, shares have dropped below $30 for the first time since October.
Aside from DCG's performance, analysts have voiced concern about earnings call remarks (transcript) indicating Chinese demand, as well as Asian demand in general, is soft among both consumers and enterprises. CEO Brian Krzanich: ""I would say [the weakness] is a little bit heavier on the client-side, so the PC side than the data center side, but we are seeing some of it on the data center side as well...""
Goldman's James Covello (Sell rating): ""Intel noted that organic 1Q trends are at the low end of seasonal, primarily due to weaker demand in China in consumer and enterprise PCs, which in turn drove higher internal inventory; We believe investors will be focused on whether DCG growth can return to the mid-teens target range after three quarters of sub-15% [Y/Y] growth...""
Bernstein's Stacy Rasgon (Market Perform): ""We had already believed “mid-teens” growth targets for DCG are optimistic, a point of view that seems to be gaining credibility given the company’s commentary on end demand. And of course PCs still don’t look great either ... Our estimates go up, but the drivers are low-quality, and purely non-operational (exclusion of amortization, a lower tax rate, and the aforementioned accounting games).""
MKM's Ian Ing (Buy): ""Intel has turned more cautious on growth since the November analyst day, particularly given uncertain China ... This not only affects client computing but data center as well, as management affirmed only double-digit growth for this segment instead of a mid-teens target.""
Rosenblatt's Kinngai Chan (no rating): ""While the current demand climate remains soft due to uncertainty in the emerging market regions, we believe Intel could begin to outperform starting from 2Q16 mainly due to product cycle refresh in both the Datacenter and the PC client segments.""
Also mentioned on the earnings call 1) Krzanich argues growing sales to the telco/networking market (where Intel has less than 10% penetration, and where NFV growth is providing a lift) will help DCG deliver double-digit 2016 growth. 2) PC CPU ASPs benefited from higher sales of Intel's Core i7 and gamer-focused K-series CPUs. 3) Over 40% of server CPU volumes for cloud clients involved custom SKUs. 4) Memory sales rose over 20% Y/Y.
Prior Intel coverage
 "
630,"Intel's Q4 EPS lifted by gross margin, tax rate; server CPU growth slows (updated)","Jan. 14, 2016, 4:33 PM","

Helping Intel (NASDAQ:INTC) deliver a big Q4 EPS beat: Gross margin was 64.3%, +130 bps Q/Q and -110 bps Y/Y, and above a guidance midpoint of 62%. Q1 non-GAAP GM guidance is also at 62% (+/-2%). Full-year GM guidance is at 63% (+/- 2%).
Also helping: Intel's tax rate was just 16%, down from 26.9% in Q3 and 21.4% a year ago. 2016 tax rate guidance is at ~25%. Meanwhile, the 2016 capex budget has been cut by $500M to $9.5B (+/- $500M). (Intel's November guidance)

Server CPUs: Worrying the Street: Data Center Group (DCG - server CPU/network processor) revenue rose just 5% Y/Y in Q4 to $4.31B, after growing 12% in Q3. Volumes +7% Y/Y, ASPs -1%. Division op. income fell 4% Y/Y to $2.17B. Intel previously forecast a 15% CAGR for DCG through 2018.

PC/mobile CPUs: Aided by Intel's Skylake CPU ramp and a positive mix shift, Client Computing Group revenue fell just 1% Y/Y to $8.76B in spite of a weak PC market, an improvement from Q3's 7% drop. Volumes -16% Y/Y, but ASPs +17%. Desktop volumes -9%, ASPs +9%. Notebooks volumes -10%, ASPs +6%. Tablet volumes -33%, ASPs ""up significantly."" Division op. income -4% to $2.72B.

Other segments: Internet of Things Group (embedded CPU) revenue +6% Y/Y to $625M; op. income -25% to $132M. Software/services revenue -3% to $543M; op. income up over 3x to $91M. ""All other"" (flash memory, one-time charges, divested businesses) revenue +11% to $682M; op. loss of $817M vs. $852M a year ago.

Financials: $525M was spent to buy back 17M shares. R&D/MG&A spend rose 4% Y/Y to $5.2B. Intel ended Q4 with $25.3B in cash/investments, and $22.7B in debt. Inventories were up $900M Y/Y to $5.2B.

INTC -3% after hours to $31.77.

Intel's results/guidance, earnings release (.pdf), CFO commentary (.pdf)

Update (7:15PM ET): Intel is now down 4.7% after hours. Though Intel's Q1 sales guidance is above a Thomson/First Call consensus of $13.86B at the midpoint ($14.1B), some estimates used by the consensus might not have been updated to account for the Altera acquisition - Altera has been expected by the Street to post Q1 sales of $423M. Bloomberg's Q1 Intel revenue consensus was at $14.2B. CEO Brian Krzanich on the earnings call: ""While the outlook for the first quarter reflects some caution for overall demand, particularly in China, we continue to expect solid growth in the business in 2016.""
 "
631,"Intel beats estimates, offers solid revenue guidance; shares lower","Jan. 14, 2016, 4:05 PM","

Intel (NASDAQ:INTC): Q4 EPS of $0.74 beats by $0.11.
Revenue of $14.91B (+1.3% Y/Y) beats by $110M.
Expects Q1 revenue of $14.1B (+/- $500M), above a $13.86B consensus at the midpoint.
Expects mid-to-high single-digit 2016 revenue growth. Consensus is for 5.6% revenue growth.
Shares -2.6% after hours.
 "
632,PC sales down strongly again in Q4; 2016 stabilization expected,"Jan. 12, 2016, 5:56 PM","

IDC estimates global PC shipments fell 10.6% Y/Y in Q4 to 71.9M, just a slightly smaller drop than Q3's 10.8%. Gartner is once more a little less downbeat, estimating shipments fell 8.3% to 75.7M.
For the whole of 2015, IDC estimates shipments fell 10.4% to 276.2M. The firm notes adding detachable tablets to its count would respectively provide ~6% and ~3% boosts to Q4 and 2015 growth rates.
The Q4 figures suggest Windows 10 (available as a free upgrade to Windows 7/8 users) and Intel's (NASDAQ:INTC) Skylake CPU launch provided only a modest sales lift. IDC: ""The PC market continued to face persistent challenges [in 2015] from longer-PC lifecycles and competition from mobile phones and tablets, despite the slowing growth in those markets. However, economic issues like falling commodity prices and weak international currencies, as well as social disruptions in EMEA and Asia/Pacific that disrupted foreign markets were a larger factor for 2015.""
IDC VP Loren Loverde still thinks PC replacement rates will pick up in 2016. ""Commercial adoption of Windows 10 (NASDAQ:MSFT) is expected to accelerate, and consumer buying should also stabilize by the second half of the year. Most PC users have delayed an upgrade, but can only maintain this for so long before facing security and performance issues."" Counting detachable tablets, IDC expects 1%-2% 2016 growth. Gartner forecasts a 1% decline.
Lenovo (OTCPK:LNVGY) remained the PC market's top player: IDC estimates Lenovo's shipment share rose 140 bps Y/Y in Q4 to 21.4%. #2 HP's (NYSE:HPQ) share rose 10 bps to 19.9%. #3 Dell's rose 70 bps to 14.1%.
Apple (NASDAQ:AAPL) and Asus (OTC:AKCPF) were tied at #4 with 7.9% shares - Apple's share rose 110 bps, and Asus' 90 bps. Apple's revenue share could be closer to 15%. Non-top 5 vendors, hurt by their relative lack of scale, collectively saw their shipment share drop 420 bps to 28.7%
Related tickers: NVDA, AMD, MU, STX, WDC

 "
633,"Intel higher after Mizuho upgrade; PC stabilization, cloud server growth cited","Jan. 12, 2016, 9:40 AM","

Believing risk/reward has improved following a rough start to 2016, Mizuho's Vijay Rakesh has upgraded Intel (INTC +2.2%) to Buy. His target is $37.
Rakesh: ""We believe while PCs may remain soft in 2016, the market declines are moderating versus 2015. On the data center side, we believe INTC continues to dominate hyperscale and cloud, driving growth against a backdrop of flattish enterprise server markets. We believe new enterprise tablet opportunities, IoT, and handsets could be incremental upside.""

Nomura upgraded Intel last month, while arguing strong Internet capex growth will act as a 2016 tailwind. Yesterday, analysts provided mixed reactions to December sales data from Taiwanese contract manufacturers (ODMs). RBC estimated the sales of four major ODMs were down 16% Y/Y, but added notebooks were a bright spot.
Intel is higher on a morning the Nasdaq is up 1.2%. Q4 results arrive on Thursday afternoon.
 "
634,"InvenSense -6.4% after Qorvo/Cirrus warnings, Rosenblatt downgrade; products launched at CES","Jan. 8, 2016, 1:54 PM","

Shortly after fellow iPhone suppliers Qorvo and Cirrus Logic issued sales warnings, Rosenblatt Securities' Jun Zhang has downgraded InvenSense (NYSE:INVN) to Neutral, and set a $10 target.
Zhang sees share loss at Samsung and growing OIS gyroscope competition, and is also worried about Apple weakness and non-OIS gyroscope price pressure. The iPhone 7 launch is still seen as a positive 2016 catalyst.
Meanwhile, InvenSense has once more been busy unveiling products at CES. The company has announced: 1) A 3rd-gen, 9-axis, motion sensor declared to have industry-leading power consumption. 2) A 2-axis OIS gyroscope said to have both industry-leading performance and and an unmatched height of 0.5mm. 3) A 6-axis motion sensor (accelerometer + gyroscope) aimed at drones, heads-up displays, and IoT devices. 4) An SoC for wearable/fitness devices featuring a 6-axis sensor, a low-power CPU, and digital motion processor blocks.
Intel (NASDAQ:INTC), for its part, has announced its button-sized Curie module for embedded/wearable devices (announced last year) will ship in Q1, and cost less than $10. Curie contains a low-power Quark CPU, a 6-axis motion sensor, a DSP sensor hub, a Bluetooth radio, and flash memory, and ships with a software kit containing algorithms and device software (among other things).
 "
635,"Amazon unit begins selling CPUs for home gateways, Wi-Fi routers","Jan. 6, 2016, 5:52 PM","

Amazon's (NASDAQ:AMZN) Annapurna Labs chip unit, acquired a year ago for a reported $350M, has unveiled (amid CES) a set of 32-bit and 64-bit ARM-based (NASDAQ:ARMH) processors for home gateways, Wi-Fi routers, and NAS storage appliances, along with related subsystems.
The chips, to be sold under the Alpine label, target a low-end networking/storage processor market in which Marvell (NASDAQ:MRVL), Cavium (CAVM), Intel (NASDAQ:INTC), and Broadcom (BRCM) are notable players. Annapurna suggests the Alpine line will be differentiated in part by offering superior general-purpose computing power, thus allowing it to support more higher-level services. It also promises Alpine will support 4K video streaming 10G Ethernet and PCIe Gen3 connectivity, low power consumption, and enterprise-class reliability.
Asus and Netgear plan to use Alpine. To date, Amazon has been tight-lipped about its plans for Annapurna. There has been speculation the Israeli chipmaker will develop low-power ARM server CPUs that will go into AWS' data centers. For now, AWS continues relying on Intel's x86 server CPUs.

Earlier: AWS cuts cloud computing prices; Rackspace sells off
 "
636,Intel buys German drone maker for its software/algorithms,"Jan. 4, 2016, 3:54 PM","

Intel (INTC -1.8%) is buying Ascending Technologies, a German maker of professional/civil and research-oriented drone lines. Terms are undisclosed.
The chip giant declares Ascending owns ""best-in-class drone auto-pilot software and algorithms."" Exec Josh Walden: ""We’ve already partnered to combine Ascending Technologies’ sense-and-avoid algorithms with Intel™ RealSense technology’s real-time depth-sensing capability. Together, these technologies can, among other things, improve drone safety – helping them avoid obstacles and collisions. With Ascending Technologies, Intel gains expertise and technology to accelerate the deployment of Intel RealSense technology into the fast growing drone market segment.""
The purchase comes five months after Intel announced a $60M+ investment in Chinese drone maker Yuneec. The company has also invested in drone OEMs Airwave and PrecisionHawk, as it squares off against Qualcomm, Nvidia, and early market leader Ambarella in the drone processor market. Both Qualcomm's Snapdragon Flight and Nvidia's Jetson TX1 platforms promise a measure of autonomous navigation support for drones.
Intel isn't a stranger to buying hardware firms for their technology and/or to help provide reference hardware platforms for OEM partners. Heads-up display maker Recon Instruments was acquired last year.
 "
637,WisdomTree U.S. Dividend Growth ETF (DGRW) December Summary,"Jan. 4, 2016, 9:03 AM","

December monthly performance was: -1.18%


AUM of $580M
52-week performance vs. the S&P 500 is: -1%


$0.10 in dividends were paid in December
Top 10 Holdings as of 11/30/2015: Exxon Mobil Corporation (XOM): 4.98%, Microsoft Corp (MSFT): 4.49%, Apple Inc (AAPL): 4.18%, Altria Group Inc (MO): 3.37%, McDonald's Corp (MCD): 2.94%, PepsiCo Inc (PEP): 2.93%, Home Depot Inc (HD): 2.4%, Intel Corp (INTC): 2.31%, International Business Machines Corp (IBM): 2.02%, AbbVie Inc (ABBV): 1.96%
 "
638,"AMCC, IPHI, LSCC rally as Intel discusses M&A plans","Dec. 29, 2015, 2:29 PM","

Telecom chipmaker and ARM server CPU developer AppliedMicro (AMCC +6.6%) is rallying after Intel (NASDAQ:INTC) M&A chief Wendell Brooks signaled more deals are likely following yesterday's closing of Intel's $16.7B purchase of FPGA developer Altera. As are telecom and data center analog/mixed-signal chipmaker InPhi (IPHI +4.2%) and FPGA/CPLD developer Lattice Semi (LSCC +7.7%).

Brooks: ""We are looking for adjacencies where we can bring our [manufacturing] process advantage to bear. Altera is a great first acquisition ... We’re doing things very differently than we have in the past ... The market very much rewards companies like Avago that are leading the charge. I think the impetus will continue.""
AppliedMicro has long been the subject of M&A speculation. Meanwhile, Lattice CEO Darin Billerbeck suggested in June his company is open to a sale.
Of note: AppliedMicro and Lattice's shares have often made big moves in the past in the absence of major news, and all three companies have betas well above 1.
 "
639,Intel points to more chipmaker deals,"Dec. 29, 2015, 2:18 AM","

Intel's (NASDAQ:INTC) $16.7B purchase of chipmaker Altera is likely to be a model for future big acquisitions at the company as the semiconductor industry's merger boom continues, according to Intel's chief dealmaker.
""We're doing things very differently than we have in the past,"" Wendell Brooks said, noting that the firm was looking beyond its traditional reliance on in-house development.
The Altera acquisition, for example, is intended to strengthen Intel's position in the data center market and the Internet of Things, as it tries to break its dependence on PCs.
Previously: Intel closes Altera deal, promotes VP to lead unit (updated) (Dec. 28 2015)
 "
640,"Intel closes Altera deal, promotes VP to lead unit (updated)","Dec. 28, 2015, 10:08 AM","

Intel's (INTC -0.5%) $16.7B purchase of FPGA developer Altera (ALTR) is officially on the books. As previously announced, Intel expects the deal to be accretive to non-GAAP EPS and cash flow in its first year after closing, and dilutive to GAAP EPS due to M&A-related costs.
Altera will now operate as Intel's Programmable Solutions Group (PSG). Notably, PSG won't be led by Altera CEO John Daane (has a large golden parachute), but by Dan McNamara, previously the GM of Altera's embedded products division. McNamara's name doesn't currently appear on Altera's executive bio page.
Intel promises Altera/PSG will work with Intel's Data Center Group (server CPUs/network processors) and IoT Group (embedded CPUs and related products) to deliver ""highly customized, integrated products and solutions."" The company promised last month solutions pairing Xeon CPUs with Altera FPGAs will arrive in Q1, while estimating FPGAs will go into 30% of data center servers by 2020.

Last week: Chinese regulators approve Intel/Altera deal

Update: Deutsche's Ross Seymore estimates Altera will account for ~3% of Intel's 2016 revenue, and ~9% of DCG revenue. His Intel target has been upped by $1 to $37. ""We now estimate Intel’s DCG revs to grow +21% y/y, up from +10% y/y previously as ALTR accounts for ~53% of y/y DCG rev growth. We model 2016 gross margins to benefit slightly (62.4% from prior DBe 62.2%) with opex increasing +2.7% from prior DBe to $20.9b ($20.4b previously). Our resulting 2016 EPS goes to $2.40 from $2.35 previously.""
 "
641,Linley Group: Recent Intel hires could bring about major culture change,"Dec. 23, 2015, 7:16 PM","

Intel's (NASDAQ:INTC) November hiring of Qualcomm vet Murthy Renduchintala to head a new and massive Client and Internet of Things Businesses and Systems Architecture Group is just one of many noteworthy recent hires of outsiders, observes long-time chip analyst and Linley Group chief Linley Gwennap.
Renduchintala's arrival was preceded by the 2014 hiring of Amir Faintuch, previously the head of Qualcomm's Atheros Wi-Fi chip unit, to head Intel's Platform Engineering Group (handles chip R&D). Gwennap notes Faintuch, who once more reports to Renduchintala, has ""already brought in other outsiders such as Anwar Awad (from Synopsys), Amit Baruch (Samsung), Shawn Covell (Qualcomm), Mark Davis (Via Telecom), Charlie Matar (AMD), Ari Rauch (AMD), and Howard Wright (Qualcomm) to hold VP-level positions.""
He sees the hiring spree potentially changing a ""not invented here"" culture at Intel, and in doing so shortening chip development cycles and improving Intel's ability to go after non-core markets. A greater willingness to use ARM CPU cores (previously strongly discouraged by management) is also deemed a possibility.
Gwennap cautions such a management/culture shakeup can be disruptive and alienate employees if not handled well. ""The key is for the new managers to recognize Intel’s many strengths, including industry-leading IC technology, excellent engineers, and a broad IP portfolio. If they can harness these strengths while improving workflow and accelerating development time, Intel will have a better chance at winning in new markets.""

Five months ago: Intel president James, three other execs leaving
 "
642,Chinese regulators approve Intel-Altera deal; closing expected soon,"Dec. 21, 2015, 11:52 AM","

China's Ministry of Commerce (MOFCOM) has signed off on Intel's (INTC - unchanged) purchase of Altera (ALTR +2%), thus providing the final regulatory clearance needed for the $16.7B ($54/share) all-cash deal to go through. (8-K filing)
The acquisition is now expected to close ""on or about"" Dec. 28. Altera has risen to within $0.09 of Intel's buyout price.

Two months ago: EU regulators approve Intel/Altera deal
 "
643,"Nomura upgrades Intel, calls company ""a survivor""","Dec. 9, 2015, 11:32 AM","

Believing 2016 will be a strong year for server CPU sales and (curiously) viewing this year's moderate share decline in spite of a spate of bad news as a positive, Nomura's Romit Shah has upgraded Intel (INTC +0.6%) to Buy, and hiked his target by $9 to $42.
Shah: ""We find it remarkable that Intel is down less than 10% YTD (vs. PC supply chain incl. HDDs/ODMs/Memory down 30%+), considering that the company missed significantly on Q1 revenues (~$1bn light vs. original guidance), pushed out 10nm in Q2, and lowered guidance on DCG in Q4. We think the market is telling us that Intel is a survivor.""

He sees industry-wide Internet capex growing 18% in 2016 after rising a subdued 6% in 2015, and notes the cloud revenue contribution for Intel's Data Center Group (DCG - server CPUs, network processors, and soon FPGAs) has risen to 33% from 20% in 2013. Shah's 2016 EPS estimate has been raised by $0.21 to $2.51 (above a $2.37 consensus) to account for DCG's organic growth, the Altera deal, and an extra week.
Last month, Intel popped after providing healthy 2016 guidance at its analyst day. DCG is expected to see mid-teens 2016 revenue growth, in-line with the 4-year CAGR forecast provided by Intel last year.
 "
644,Citi: 28 U.S. value names for 2016,"Dec. 8, 2015, 3:18 PM","

It's been a rough run for value stocks over the past few years, but the metric used to determine value - price/book - may not be the right one, says Citi's Robert Buckland. Free-cash-flow yield is better, he argues. noting this metric tracked traditional value in the 1990s and 2000s, but has easily outperformed over the past decade.
It's a sign of the times, he says, as FCF is a ""capex-suspicious metric,"" and investors are concerned about the economic outlook, and cynical about capital allocation decisions of managements.

The list of 28 U.S. value (as defined by FCF yield) plays: BHI, VIAB, WFM, ANTM, HPQ, ABC, LBTYA, M, AAPL, CTL, XRX, LYB, CMI, ETN, MRK, VLO, CSCO, WRK, IBM, LVS, ESRX, IP, CAH, ADM, INTC, CAT, ABBV, EMN

 "
